Fecha,Hora,Comida,Descripción,Kcal,Proteína (g),Carbohidratos (g),Grasas (g),Fibra (g),Azúcar (g),Sodio (mg),Marca/Producto,Notas,Fuente,ID,
2026-02-02,14:00,almuerzo,guiso de porotos negros con carne,400,g,estimado por foto,520,32,55,18,14,alta,estimacion visual,,
2026-02-02,14:00,almuerzo,arroz blanco cocido,150,g,estimado por foto,195,4,43,"0,5","0,5",media,estimacion visual,,
2026-02-02,14:00,almuerzo,galletitas tipo cracker,30,g,estimado por foto (5-6 unidades),135,3,20,5,2,media,estimacion visual,,
2026-02-02,10:30,desayuno,granola,60,g,bowl estimado,270,6,45,9,6,media,estimacion,,
2026-02-02,10:30,desayuno,leche proteica,200,ml,4.6g prot/200ml,90,"4,6",9,3,0,alta,etiqueta,,
2026-02-02,10:30,desayuno,coco rallado,10,g,estimado,60,"0,7","2,5",6,2,media,estimacion,,
2026-02-02,10:30,desayuno,crema de mani,20,g,1 cucharada,120,5,4,10,"1,5",media,estimacion,,
2026-02-02,13:00,snack,banana,2,unidad,medianas,210,"2,6",54,"0,6",6,alta,bd,,
2026-02-02,13:00,snack,tomate,1,unidad,mediano,22,1,5,"0,2","1,5",alta,bd,,
2026-02-02,21:30,snack,alfajor chocolate blanco y dulce de leche,0.5,unidad,marca no especificada,125,2,15,7,"0,5",baja,estimacion,,
2026-02-03,08:30,bebida,cafe negro espresso,1,unidad,sin azucar ni leche,2,"0,3",0,0,0,alta,bd,,
2026-02-03,12:15,almuerzo,tomate fresco,300,g,3 tomates,54,3,12,"0,6","3,6",alta,bd,,
2026-02-03,12:15,almuerzo,aceite de oliva,15,g,~1 cucharada,120,0,0,14,0,media,estimacion,,
2026-02-03,12:15,almuerzo,aceto balsamico,10,g,chorrito,15,0,3,0,0,media,estimacion,,
2026-02-03,12:15,almuerzo,huevo entero,3,unidad,revueltos,210,18,2,15,0,alta,bd,,
2026-02-03,12:15,almuerzo,queso fontina,20,g,poquito,80,5,1,6,0,media,estimacion,,
2026-02-03,12:15,almuerzo,manteca,5,g,poquito,36,0,0,4,0,media,estimacion,,
2026-02-03,12:15,almuerzo,tomate fresco,300,g,3 tomates,54,3,12,"0,6","3,6",alta,bd,,
2026-02-03,12:15,almuerzo,aceite de oliva,15,g,~1 cucharada,120,0,0,14,0,media,estimacion,,
2026-02-03,12:15,almuerzo,aceto balsamico,10,g,chorrito,15,0,3,0,0,media,estimacion,,
2026-02-03,12:15,almuerzo,huevo entero,3,unidad,revueltos,210,18,2,15,0,alta,bd,,
2026-02-03,12:15,almuerzo,queso fontina,20,g,poquito,80,5,1,6,0,media,estimacion,,
2026-02-03,12:15,almuerzo,manteca,5,g,poquito,36,0,0,4,0,media,estimacion,,
2026-02-03,16:30,snack,banana,1,unidad,mediana,105,"1,3",27,"0,3",3,alta,bd,,
2026-02-03,16:30,snack,crema de mani,15,g,2 cucharadas chicas,90,"3,8",3,"7,5",1,media,estimacion,,
2026-02-03,16:30,snack,mix frutos secos,40,g,"mani, caju, nuez, almendra",230,7,8,19,3,media,estimacion,,
2026-02-03,21:15,cena,guiso de porotos negros con carne,400,g,"mismo guiso que 02-Feb, estimado por foto",520,32,55,18,14,alta,estimacion visual,,
2026-02-03,21:15,cena,arroz blanco cocido,150,g,estimado por foto,195,4,43,"0,5","0,5",media,estimacion visual,,
2026-02-03,21:15,cena,galletitas tipo cracker,30,g,5-6 unidades,135,3,20,5,2,media,estimacion visual,,
2026-02-04,08:45,desayuno,cafe negro,1,unidad,sin azucar ni leche,2,"0,3",0,0,0,alta,bd,,
2026-02-04,08:45,desayuno,galletitas de manteca,7,unidad,tipo lata,350,4,45,18,1,media,estimacion,,
2026-02-04,13:30,almuerzo,aceite vegetal (incluido en preparación),0,cucharada,NO item separado – incluido en berenjenas,0,0,0,0,0,alta,corrección,,
2026-02-04,21:00,cena,mayonesa (incluida en preparación),0,cucharada,NO item separado – incluida en ensalada,0,0,0,0,0,alta,corrección,,
2026-02-05,14:20,almuerzo,Huevo revuelto,1,unidad,,90,6,1,7,,,media,estimación,
2026-02-05,14:20,almuerzo,Pastel de papa y carne,200,g,1/2 porción,300,15,30,15,,,media,estimación,
2026-02-05,14:20,almuerzo,Arroz cocido,50,g,1 puñado,65,1,14,0,,,baja,estimación,
2026-02-05,14:20,almuerzo,Tomate,300,g,2 unidades,55,3,11,1,,,media,estimación,
2026-02-05,14:20,almuerzo,Aceite de oliva,13,g,1 cda,120,0,0,14,,,media,estimación,
2026-02-05,15:30,almuerzo,Morrón relleno (morrón),200,g,,60,2,14,0,,,media,estimación,
2026-02-05,15:30,almuerzo,Queso fontina,60,g,cantidad media,200,12,2,17,,,media,estimación,
2026-02-05,15:30,almuerzo,Huevo,2,unidad,relleno,140,12,2,10,,,media,estimación,
2026-02-04,--,snack,maní tostado sin sal,4,puñado,~30 g por puñado (estimado),680,32,24,56,12,media,estimación,,
2026-02-05,21:00,cena,milanesa de pollo,2,unidad,"horno/frita, tamaño medio",500,46,30,28,2,media,estimación,,
2026-02-05,21:00,cena,tomate,450,g,3 unidades,80,4,18,1,5,alta,bd,,
2026-02-05,21:00,cena,aceite de oliva,10,g,para tomate,90,0,0,10,0,media,estimación,,
2026-02-05,21:00,cena,aceto balsámico,10,g,chorrito,15,0,3,0,0,media,estimación,,
2026-02-05,21:00,cena,papa hervida,75,g,1/2 papa chica,60,"1,5",14,0,2,media,estimación,,
2026-02-05,21:00,cena,sopa de zapallo ahuyama,1,plato,"casera, sin crema (estimado)",150,3,30,2,5,media,estimación,,
2026-02-06,15:00,desayuno,granola natural sin azúcar,60,g,tazón estimado,270,6,45,9,6,media,estimación,,
2026-02-06,15:00,desayuno,leche proteica,200,ml,4.6 g proteína / porción,90,4.6,9,3,0,alta,etiqueta,,
2026-02-06,15:00,desayuno,crema de maní,20,g,1 cda sopera generosa,120,5,4,10,1.5,media,estimación,,
2026-02-06,15:00,desayuno,coco rallado,10,g,espolvoreado,60,0.7,2.5,6,2,media,estimación,,
2026-02-06,--,snack,tomate,600,g,4 unidades medianas,110,6,22,2,6,alta,bd,,
2026-02-06,--,snack,maní tostado sin sal,5,puñado,~30 g por puñado (estimado),850,40,30,70,15,media,estimación,,
2026-02-06,21:00,cena,shawarma de carne,1,unidad,grande,650,40,45,35,3,media,estimación,,
2026-02-06,21:00,cena,hummus de garbanzo,50,g,porción chica,120,4,8,8,3,media,estimación,,
2026-02-06,21:00,cena,pan pita,1,unidad,mediano,170,6,35,2,2,media,estimación,,
2026-02-07,14:00,almuerzo,asado de tira,200,g,≈1/3 del total compartido,520,40,0,42,0,media,estimación por foto,,
2026-02-07,14:00,almuerzo,bondiola de cerdo,170,g,≈1/3 del total compartido,420,30,0,34,0,media,estimación por foto,,
2026-02-07,14:00,almuerzo,chinchulines,120,g,≈1/3 del total compartido,360,20,0,30,0,media,estimación por foto,,
2026-02-07,14:00,almuerzo,riñones,120,g,≈1/3 del total compartido,180,26,4,6,0,media,estimación por foto,,
2026-02-07,14:00,almuerzo,chorizo,2,unidad pequeña,≈1/3 del total,320,16,4,26,0,media,estimación por foto,,
2026-02-07,14:00,almuerzo,papas fritas,200,g,≈1/3 de la fuente,620,7,80,32,6,media,estimación por foto,,
2026-02-07,16:00,postre,flan con dulce de leche y crema,1,porción,casero,380,8,45,18,1,media,estimación,,
2026-02-07,16:00,postre,tiramisú,1,porción,porción estándar,420,7,45,22,1,media,estimación,,
2026-02-07,21:00,cena,guiso de paleta,300,g,paleta + verduras,450,38,10,28,3,media,estimación por foto,,
2026-02-07,21:00,cena,papa,200,g,en guiso,160,4,36,0,4,media,estimación por foto,,
2026-02-07,21:00,cena,arroz blanco cocido,150,g,acompañamiento,195,4,42,0,1,media,estimación por foto,,
2026-02-07,22:30,bebida,vino rosado,2,copa,≈150 ml por copa,240,0,8,0,0,media,estimación,,
2026-02-07,23:30,bebida,vino rosado,1,copa chica,<1/2 copa (~60 ml),60,0,2,0,0,media,estimación,,
2026-02-08,1:00,bebida,cerveza Heineken,500,ml,lata grande,215,2,17,0,0,alta,etiqueta,,
2026-02-08,1:30,snack,alfajor de chocolate con dulce de leche,0.5,unidad,medio alfajor estándar,130,2,18,6,1,media,estimación,,
2026-02-08,14:00,almuerzo,huevo revuelto,3,unidad,"revueltos, sin datos de aceite",210,18,2,15,0,media,estimación,,
2026-02-08,14:00,almuerzo,chipa chica,8,unidad,caseras/pequeñas,400,8,40,20,2,media,estimación,,
2026-02-08,14:00,almuerzo,medialuna de manteca,1,unidad,tamaño estándar,180,4,22,9,1,media,estimación,,
2026-02-08,14:00,almuerzo,mango,0.5,unidad,natural,70,1,18,0,2,media,estimación,,
2026-02-08,14:30,bebida,Coca-Cola Zero,250,ml,vaso,0,0,0,0,0,alta,etiqueta,,
2026-02-08,21:00,cena,pollo al horno (pata y muslo),1,unidad,"con piel, al horno",420,35,0,30,0,media,estimación,,
2026-02-08,21:00,cena,puré de papa,200,g,casero,180,4,36,4,3,media,estimación,,
2026-02-08,21:00,cena,pan tipo figaza,1,unidad,mediano,220,7,42,3,2,media,estimación,,
