# flow_id	url	status	channel	notes
UFC-STAB-002	local://scripts/quality-gate.sh	verified	automated	Quality pack validado en worktree real y entorno simulado de pre-push; fixture ignora variables Git locales heredadas, se autolimpia y no modifica HEAD.
UFC-STAB-005	local://__tests__/runTests.js	verified	automated	RED: toolsHandlers detectó 1 lectura Sheets con snapshot SQLite. GREEN: npm test exit 0 sin Background cache refresh failed; testHarness valida unhandledRejection y Timeout residual.
UFC-STAB-003	local://src/scripts/parityGate.js?bot=ufc	verified	automated	RED: UFC_STATS_DB_PATH productivo no era evaluado y faltaban perfiles/scripts UFC. GREEN: qa:parity:ufc validó code/env/test parity y ufc:db:verify read-only; token comparado sólo por SHA-256.
UFC-STAB-004	local://docs/ufc-stabilization/evidence/2026-07-20-production-baseline.json	verified	production_readonly	Snapshot v1 sanitizado: DB quick_check OK, 36 tablas, seis protected digests, systemd active y health 200; detecta stats 2026-04-01, crecimiento automático y 915 conflictos 409/1000 líneas sin persistir PII ni journal crudo.
UFC-STAB-100	local://__tests__/eventTruthGate.test.js	verified	automated	RED: contrato ausente y filas legacy sin confianza. GREEN: incidentes UFC 329, Preview y stale-live quedan no consumibles; migración aditiva conserva fila y la lee invalid; decisiones se registran append-only; npm test verde.
UFC-STAB-101	local://__tests__/eventLedgerFailClosed.test.js	verified	automated	News, proyecciones, scoring, mirrors y auto-settlement cortan antes de I/O mutante ante evento inválido o stats >36h; caminos verificados siguen operativos; DB real conserva apuesta pending y conteo de bet_mutations exacto.
UFC-STAB-102	local://__tests__/snapshotDedupe.test.js	verified	automated	RED: 96 ciclos iguales durante 24 h insertaban 96 proyecciones y 96 scoring. GREEN: hashes SHA-256 canónicos e índices únicos parciales conservan uno por contenido, permiten cambios materiales y migran tablas legacy sin reescribir filas existentes; npm test verde.
UFC-STAB-103	local://__tests__/ufcHealthStatus.test.js	verified	automated	Contrato health aditivo con seis bloques UFC, TTL deportivo revalidado y getters read-only. La allowlist excluye token, paths, evidencia y cartelera; billing/maintenance exponen última observación segura y Odds usa lectura SQLite sin auto-heal. Suite completa verde.
UFC-STAB-204	local://__tests__/oddsEventResolver.test.js	verified	automated	RED: discoverNextEvent no consumía Odds API, seguía devolviendo el eventName del contexto web sin verificar. GREEN: resolveNextEventFromOddsRows agrupa por ventana horaria (ancla=pelea más temprana, main event=más tardía, evita off-by-one de fecha UTC en cards que cruzan medianoche); con corroboración de Google News alcanza confidence=verified, sin corroboración queda degraded (no consumible), sin filas de Odds cae al camino web preexistente sin cambios. UFC 329 ya no es candidato (query commence_time>=now lo excluye en origen). Pendiente deploy.
UFC-STAB-201	local://__tests__/ufcStatsTool.test.js	verified	automated	RED: getFreshnessMeta usaba MAX(event_date) textual (September le gana a April) y generatedAt sólo salía de mtime. GREEN: usa MAX(event_date_iso); lee meta.generated_at embebido por convert_to_sqlite.py cuando existe (freshnessSource=meta_table), cae a mtime en DBs viejas sin esa tabla (freshnessSource=file_mtime) sin romper. 3 tests con SQLite real vía better-sqlite3.
UFC-STAB-203	local://__tests__/ufcDataScrapper.test.js	verified	automated	3 corridas reales del script (execFileSync, no simulación de líneas de código): (1) candidato válido con más fights que el live -> swap aplicado, backup de 1 generación, sin residuos; (2) candidato con menos fights que el live -> aborta antes de tocar la DB live, sin backup, sudo nunca invocado; (3) swap aplicado pero /health nunca responde -> rollback real, DB live vuelve a su contenido pre-swap byte a byte, sudo invocado exactamente 2 veces (restart inicial + rollback).
